GENE	he%sample1	he%sample2	he%sample3	ht%sample1	ht%sample2	ht%sample3	hy%sample1	hy%sample2	hy%sample3
HE_FRAG7809.0-1056|SPU_013570	20	3	3	8	14	5	14	14	18
HE_COMP225486_C4_SEQ1.0-1023|SPU_024267	5	1	1	111	124	11	4	3	5
HE_FRAG14308.68-1059|SPU_026460	511	636	636	1435	1140	110	761	171	572
HE_CONTIG1524|SPU_012700	2406	2169	2169	532	2154	392	2129	969	1556
HE_CONTIG3424|SPU_006054	287	178	178	480	899	492	323	358	267
HE_CONTIG786|SPU_028601	1246	473	473	704	1128	685	776	1041	914
HE_FRAG269.57-873|SPU_027747	13	6	6	16	7	8	14	4	7
HE_COMP246845_C1_SEQ1.3-123|UNKNOWN	0	2	2	5	1	0	7	7	1
HE_COMP237553_C1_SEQ1.138-1032|SPU_006816	136	58	58	135	137	100	450	105	100
HE_COMP240558_C1_SEQ11.58-91|UNKNOWN	133	91	91	59	60	40	104	84	109
HE_FRAG23083.1908-2588|SPU_011423	300	222	222	322	254	46	202	291	221
HE_COMP243628_C1_SEQ1.353-422|UNKNOWN	18	13	13	15	30	77	15	13	16
HE_FRAG945.327-513|SPU_006004	5	0	0	16	9	12	3	17	53
HE_COMP245547_C4_SEQ1.1788-4260|SPU_014404	281	87	87	266	626	526	262	517	312
HE_CONTIG266|SPU_016027	614	335	335	465	136	53	418	90	238
HE_CONTIG1127|SPU_006606	128	239	239	153	205	181	325	94	238
HE_FRAG6948.3572-4034|SPU_014707	179	259	259	310	566	192	275	366	345
HE_COMP241374_C3_SEQ1.53-713|UNKNOWN	69	18	18	356	1463	2010	455	75	110
HE_COMP235512_C0_SEQ12.596-717|SPU_018429	3620	5449	5449	443	705	514	3808	1441	3823
HE_COMP229903_C2_SEQ1.310-2346|SPU_004401	277	123	123	165	469	206	267	248	348
HE_FRAG1744.107-617|UNKNOWN	6901	1960	1960	2187	2472	1315	5340	5697	3671
HE_COMP241253_C12_SEQ1.6-255|SPU_015635	5899	4336	4336	5078	5383	6761	5893	3311	4283
